15:26:02–15:26:09  I fold a tissue.
17:47:25–17:47:31  I place my hand on the trackpad.
17:47:32–17:47:33  I read research notes.
17:47:34–17:47:41  I glance at the desk.
17:47:42–17:47:47  I look at the bathroom.
17:47:48–17:47:50  I glance at the shelf.
17:47:51–17:47:51  I look at a person.
17:47:52–17:48:01  I read notes.
17:48:02–17:48:06  I view the geometric diagram.
17:48:06–17:48:19  I examine the canvas.
17:48:19–17:48:25  I say '嗯。'
17:48:25–17:48:31  I scan the screen.
17:48:32–17:48:40  I look at the laptop screen.
17:48:41–17:48:57  I view the lower right laptop screen.
17:48:58–17:49:01  I scan the laptop screen.
17:49:02–17:49:14  I look at the MacBook screen.
17:49:15–17:49:20  I look toward the bathroom.
17:49:21–17:49:24  I look back at the MacBook.
17:49:25–17:49:31  I rest my hand near the trackpad.
17:49:32–17:49:33  I say "嗯。"
17:49:33–17:49:37  I view the document.
17:49:38–17:49:58  I look at the keyboard.
17:49:59–17:50:01  I read the document.
17:50:02–17:50:06  I look at the laptop screen.
17:50:06–17:50:13  I examine the browser page.
17:50:13–17:50:15  I reach toward the trackpad.
17:50:15–17:50:18  I switch windows using the trackpad.
17:50:18–17:50:22  I read the academic paper.
17:50:22–17:50:31  I browse the PDF document.
17:50:32–17:50:34  I read the document outline.
17:50:34–17:50:35  I view the upper right screen area.
17:50:35–17:50:45  I review the left document outline.
17:50:46–17:50:47  I check the document section button.
17:50:48–17:51:01  I read the document body.
17:51:02–17:51:05  I view the document on the MacBook.
17:51:06–17:51:11  I view the expanded document.
17:51:12–17:51:17  I look at the bottom toolbar area.
17:51:18–17:51:22  I look at the center of the document.
17:51:23–17:51:27  I look at the top right of the screen.
17:51:28–17:51:31  I look at the laptop dock area.
17:51:32–17:51:37  I view the canvas workspace.
17:51:37–17:51:45  I view the macOS dock.
17:51:45–17:51:49  I scan the laptop screen.
17:51:49–17:51:54  I say '嗯。'
17:51:54–17:51:58  I observe the canvas workspace.
17:51:58–17:52:01  I watch the laptop screen.
17:52:02–17:52:05  I look at the laptop screen.
17:52:05–17:52:08  I read the laptop screen.
17:52:08–17:52:21  I rest my hand on the trackpad.
17:52:21–17:52:22  I look down at the desk.
17:52:22–17:52:23  I say '嗯。'
17:52:23–17:52:24  I reach for the tea bottle.
17:52:24–17:52:26  I unscrew the cap of the tea bottle.
17:52:26–17:52:28  I remove the bottle cap.
17:52:28–17:52:31  I drink from the tea bottle.
17:52:32–17:52:38  I read the research notes on evolutionary reinforcement learning.
17:52:38–17:52:40  I unscrew the bottle cap.
17:52:40–17:52:41  I raise the tea bottle toward the person by the window.
17:52:41–17:52:42  I say '啊！' to the person.
17:52:42–17:52:43  I place the tea bottle on the desk.
17:52:43–17:52:45  I pick up the portable handheld fan.
17:52:45–17:52:49  I unfold the mini fan base.
17:52:49–17:52:53  I power on the mini fan showing '20'.
17:52:53–17:52:57  I inspect the spinning mini fan.
17:52:57–17:52:59  I place the mini fan on the desk.
17:52:59–17:53:02  I view the research notes on my laptop.
17:53:02–17:53:03  I say '啊！'.
17:53:03–17:53:13  I read the document on my MacBook.
17:53:13–17:53:21  I review the upper document text on my MacBook.
17:53:21–17:53:26  I type into the document on my MacBook.
17:53:26–17:53:29  I type on the MacBook keyboard.
17:53:29–17:53:32  I type on the keyboard.
17:53:32–17:53:37  I position my hands over the keyboard.
17:53:38–17:53:46  I read the Claude AI explanation about intrinsic motivation and Harlow's experiment.
17:53:47–17:53:49  I read the search citations under the Claude response.
17:53:50–17:53:51  I say '嗯。'
17:53:52–17:53:57  I read the Claude response.
17:53:58–17:54:00  I check the left desk area and chair.
17:54:01–17:54:01  I look down at the floor.
17:54:02–17:54:03  I look at my keyboard.
17:54:03–17:54:04  I say '嗯。'
17:54:04–17:54:10  I wait for the Claude response.
17:54:10–17:54:17  I read the opening Claude response.
17:54:17–17:54:24  I read the Claude response.
17:54:24–17:54:31  I scan the lower Claude response.
17:54:32–17:54:42  I read the Claude chat response about Shannon's cryptography paper and Dan Pink's motivation theory.
17:54:43–17:54:45  I click 'Open link' for the YouTube URL.
17:54:45–17:54:47  I monitor the browser tab loading.
17:54:48–17:54:51  I view the partially loaded page showing the 'pescaero' profile icon.
17:54:52–17:54:54  I place both hands on the keyboard.
17:54:54–17:54:57  I say 'watch this just in me啊没有我操。'
17:54:58–17:55:01  I watch the RSA Animate video load.
17:55:02–17:55:05  I watch the RSA Animate video 'Drive'.
17:55:06–17:55:12  I hold a yellow foam earplug.
17:55:13–17:55:20  I read the bilingual video subtitles.
17:55:21–17:55:31  I compress the yellow foam earplug.
17:55:32–17:55:36  I squeeze a yellow foam earplug while watching the RSA Animate 'Drive' video.
17:55:36–17:55:46  I watch the RSA Animate video on rewards and punishments while rolling the earplug.
17:55:46–17:55:54  I watch the video transition to the MIT study.
17:55:54–17:55:56  I pause the YouTube video.
17:55:56–17:56:01  I position my hands over the keyboard.
17:56:02–17:56:07  I look at the loading YouTube video page.
17:56:08–17:56:13  I browse the YouTube video recommendations.
17:56:14–17:56:17  I click the Dan Pink TED Talk video.
17:56:18–17:56:23  I watch the TED video introduction.
17:56:24–17:56:31  I watch Daniel Pink's TED Talk.
17:56:32–17:56:38  I watch Dan Pink's TED Talk.
17:56:39–17:56:43  I watch Dan Pink discuss law school.
17:56:44–17:56:52  I watch Dan Pink discuss his law school performance.
17:56:53–17:56:58  I watch Dan Pink discuss using his legal skills.
17:56:59–17:57:01  I watch Dan Pink introduce 'THE CANDLE PROBLEM'.
17:57:02–17:57:07  I watch the TED Talk candle problem slide.
17:57:08–17:57:17  I watch the speaker explain the experimental instructions.
17:57:18–17:57:20  I watch the TED Talk stage shot.
17:57:21–17:57:26  I watch the speaker describe melting candle wax.
17:57:27–17:57:31  I watch the TED Talk stage layout.
17:57:32–17:57:36  I watch the TED Talk about the candle problem.
17:57:37–17:57:41  I watch the TED Talk explanation about functional fixedness.
17:57:42–17:57:49  I watch the TED Talk about Sam Glucksberg's experiment.
17:57:50–17:57:53  I watch the speaker describe the experiment instructions.
17:57:54–17:57:58  I watch the TED Talk explanation of baseline timing norms.
17:57:59–17:58:01  I watch the speaker explain the reward incentives.
17:58:02–17:58:07  I watch the TED talk video.
17:58:08–17:58:14  I watch the TED talk question.
17:58:15–17:58:21  I watch the TED talk results.
17:58:22–17:58:29  I watch the TED talk discussion.
17:58:30–17:58:31  I place hands on keyboard.
17:58:32–17:58:37  I watch Dan Pink's TED talk about extrinsic motivation.
17:58:38–17:58:41  I watch Dan Pink discuss extrinsic motivators.
17:58:42–17:58:45  I read the slide 'There's a mismatch between what science knows and what business does.'
17:58:46–17:58:55  I watch Dan Pink explain extrinsic motivation operating systems.
17:58:56–17:59:01  I watch Dan Pink discuss reward-and-punishment approaches for 21st-century tasks.
17:59:02–17:59:05  I watch the Dan Pink TED Talk video.
17:59:06–17:59:06  I view the Candle Problem slide.
17:59:07–17:59:14  I watch Dan Pink explain the incentive experiment results.
17:59:15–17:59:18  I watch Dan Pink discuss removing tacks from the box.
17:59:19–17:59:20  I view the Candle Problem for Dummies slide.
17:59:21–17:59:30  I watch Dan Pink explain how rewards narrow focus.
17:59:31–17:59:32  I place my left hand on the laptop keyboard.
17:59:32–17:59:34  I pause the YouTube video Dan Pink - 出人意料的工作动机.
17:59:34–17:59:36  I view the YouTube video page recommendations.
17:59:37–17:59:46  I read the document notes.
17:59:47–17:59:49  I click the 'Open link' popup.
17:59:50–17:59:56  I watch the YouTube video intro.
17:59:57–18:00:01  I watch and pause the RSA presentation video.
18:00:02–18:00:06  I watch the RSA Animate video.
18:00:06–18:00:08  I switch the video to fullscreen.
18:00:08–18:00:13  I watch the RSA Animate video illustrating task challenges.
18:00:14–18:00:24  I watch the video explain three tiers of monetary rewards.
18:00:25–18:00:31  I watch the video describe corporate incentive schemes.
18:00:32–18:00:36  I roll a yellow foam earplug.
18:00:36–18:00:42  I squeeze a yellow foam earplug.
18:00:42–18:00:49  I compress a yellow foam earplug.
18:00:49–18:00:56  I knead a yellow foam earplug.
18:01:01–18:01:01  I roll a yellow foam earplug.
18:01:02–18:01:07  I watch the whiteboard animation video about economics research on incentives.
18:01:07–18:01:14  I watch the video explain incentive effects on performance.
18:01:15–18:01:18  I watch the video show that incentives work reversely above rudimentary cognitive skills.
18:01:19–18:01:23  I rest my hand on the trackpad while watching the video.
18:01:24–18:01:27  I watch the video depict socialist conspiracy theories.
18:01:28–18:01:31  I knead the earplug while watching the video reveal the Federal Reserve Bank funding.
18:01:32–18:01:37  I roll a yellow foam earplug while watching a whiteboard animation video about behavioral physics.
18:01:38–18:01:43  I roll the yellow earplug while watching the video propose testing fifty-dollar incentives elsewhere.
18:01:44–18:01:54  I roll the earplug while watching the video depict the study location in rural India.
18:01:55–18:02:01  I knead the earplug while watching the video draw three incentive performance steps.
18:02:02–18:02:07  I roll a yellow foam earplug.
18:02:08–18:02:15  I knead a yellow foam earplug.
18:02:16–18:02:20  I press a yellow foam earplug.
18:02:21–18:02:28  I twirl a yellow foam earplug.
18:02:29–18:02:31  I squeeze a yellow earplug.
18:02:32–18:02:36  I roll a yellow foam earplug.
18:02:36–18:02:41  I roll the yellow earplug.
18:02:41–18:02:47  I shape the yellow earplug.
18:02:47–18:02:55  I knead the yellow earplug.
18:02:55–18:03:01  I roll the compressed yellow earplug.
18:03:02–18:03:07  I watch an animated video about engagement while rolling an earplug.
18:03:08–18:03:15  I watch the Atlassian case study in the video.
18:03:16–18:03:24  I watch the video illustrate Atlassian's 24-hour policy.
18:03:25–18:03:31  I watch the video describe the Atlassian results meeting.
18:04:02–18:04:06  I watch an animated video about weekend musicians.
18:04:07–18:04:13  I watch the video explanation on mastery.
18:04:14–18:04:20  I watch the video anecdote about Professor Shulman.
18:04:21–18:04:26  I watch the cartoon dialogue pitching a business model.
18:04:27–18:04:31  I watch the video concept on crowdsourcing skilled work.
18:04:32–18:04:36  I watch an explainer video about open-source volunteers.
18:04:37–18:04:45  I watch the video explainer about skepticism toward free software.
18:04:46–18:04:51  I watch the video illustrate Linux server adoption.
18:04:52–18:04:56  I rest my clasped hands.
18:04:57–18:05:01  I say '他们想做的是，他们想做的是，他们想做的是，他们想做的是。'
18:05:02–18:05:08  I watch the RSA Animate video on motivation.
18:05:08–18:05:14  I watch the video explain discretionary work.
18:05:14–18:05:21  I watch the video analyze intrinsic motivation.
18:05:21–18:05:31  I watch the video discuss the purpose motive.
18:05:32–18:05:35  I watch the video about attracting talent.
18:05:35–18:05:41  I watch the video about profit motive unmoored from purpose.
18:05:41–18:05:48  I watch the video listing poor products and uninspiring workplaces.
18:05:48–18:05:54  I watch the video about detached purpose motives.
18:05:54–18:06:01  I watch the video about flourishing companies merging profit and purpose.
18:06:02–18:06:06  I watch an animated whiteboard video about purpose-driven organizations.
18:06:06–18:06:12  I watch the whiteboard animation illustrate Skype's mission.
18:06:12–18:06:16  I watch the whiteboard video introduce Steve Jobs's quote.
18:06:16–18:06:21  I watch the video explain purpose maximizers versus profit maximizers.
18:06:21–18:06:24  I glance toward my laptop keyboard while watching the video about mastery.
18:06:24–18:06:27  I inspect the laptop palm rest while holding a yellow highlighter.
18:06:27–18:06:31  I watch the video explain treating people like human beings.
18:06:32–18:06:41  I watch the RSA Animate video about human motivation.
18:06:41–18:06:46  I watch the RSA Animate video conclusion.
18:06:46–18:06:49  I watch the video end screen.
18:06:49–18:06:51  I say 'Yeah, it's interesting. That's interesting.'
18:06:51–18:06:55  I browse the YouTube end-screen video recommendations.
18:06:55–18:06:58  I watch 'THE CANDLE PROBLEM' video.
18:06:58–18:07:01  I scroll down the YouTube page.
18:07:02–18:07:03  I say '啊哟！'.
18:07:03–18:07:08  I watch the YouTube video.
18:07:08–18:07:10  I switch applications.
18:07:10–18:07:14  I look at the document editor status bar.
18:07:14–18:07:23  I read the document text.
18:07:23–18:07:28  I read the document content.
18:07:28–18:07:31  I glance at the bottom of the screen.
18:07:32–18:07:37  I say 'Oh my god, I'm so hungry. I'm so hungry. I'm so hungry.'
18:07:37–18:07:41  I say 'I need to work out for some food. I'm sorry.'
18:07:42–18:07:45  I stand up.
18:07:46–18:07:49  I walk to the living room.
18:07:50–18:07:52  I walk toward the kitchen.
18:07:53–18:07:55  I enter the kitchen.
18:07:56–18:07:59  I open the refrigerator door.
18:08:00–18:08:01  I look inside the refrigerator.
18:08:02–18:08:04  I inspect the refrigerator shelves and door bins.
18:08:05–18:08:13  I scan the upper refrigerator shelves.
18:08:14–18:08:16  I close the refrigerator door.
18:08:17–18:08:22  I open the upper freezer drawer.
18:08:23–18:08:25  I open the lower freezer drawer.
18:08:26–18:08:28  I search the lower freezer drawer.
18:08:28–18:08:30  I say 'There we have some.'
18:08:30–18:08:31  I remove a frozen food package from the freezer drawer.
18:08:32–18:08:34  I reach for a package in the freezer drawer.
18:08:34–18:08:36  I say 'I think, yeah, just get some.'
18:08:36–18:08:39  I examine the Synear Spring Onion Pastry package.
18:08:39–18:08:41  I say 'This would be great. Simple, easy to follow.'
18:08:41–18:08:44  I close the freezer drawer and door.
18:08:44–18:08:47  I turn toward the kitchen countertop.
18:08:47–18:08:49  I place the scallion pastry package on the counter.
18:08:49–18:08:53  I pull a paper towel.
18:08:53–18:08:58  I wipe the range hood edge with a paper towel.
18:08:58–18:09:01  I lift the frying pan from the stove.
18:09:02–18:09:05  I ignite the gas stove burner under the frying pan.
18:09:05–18:09:10  I adjust the gas stove flame under the frying pan.
18:09:11–18:09:13  I throw the tissue paper into the trash bag.
18:09:14–18:09:17  I take a tortilla wrap from the package.
18:09:18–18:09:22  I unwrap the tortilla flatbread.
18:09:23–18:09:26  I place the tortilla flatbread into the frying pan.
18:09:27–18:09:30  I throw the plastic wrapper into the trash bag.
18:09:30–18:09:31  I monitor the tortilla flatbread cooking in the pan.
18:09:32–18:09:35  I look at the frying pan on the gas stove.
18:09:35–18:09:38  I open the kitchen door.
18:09:38–18:09:41  I say 'What's the guidance sound?'.
18:09:41–18:09:55  I look at the frying pan on the stove.
18:09:55–18:09:58  I grab the flatbread package.
18:09:58–18:10:02  I read the cooking instructions on the 思念食品 packaging.
18:10:02–18:10:05  I read the cooking instructions on the pastry package.
18:10:05–18:10:08  I say '嗯，是的，三分钟。'
18:10:08–18:10:11  I place the flatbread into the frying pan.
18:10:11–18:10:14  I ignite the gas burner.
18:10:14–18:10:18  I grab a spatula.
18:10:18–18:10:27  I press the pancake with the spatula.
18:10:27–18:10:31  I set down the spatula.
18:10:32–18:10:45  I read the cooking instructions on the Synear pastry package.
18:10:46–18:10:49  I pick up the bag of frozen pastry sheets.
18:10:50–18:10:52  I open the refrigerator door.
18:10:53–18:10:57  I say '哦，Let me have some, have some eggs.'
18:10:57–18:11:01  I say 'It's gonna be great.'
18:11:02–18:11:04  I retrieve an egg carton.
18:11:05–18:11:07  I close the refrigerator door.
18:11:08–18:11:10  I place the egg carton on the stovetop.
18:11:11–18:11:13  I locate the trash bag.
18:11:14–18:11:20  I crack an egg into the frying pan.
18:11:21–18:11:23  I discard the eggshells into the trash bag.
18:11:24–18:11:26  I pick up a pouch of white sugar.
18:11:27–18:11:31  I position the sugar pouch over the frying pan.
18:11:32–18:11:34  I put down a pouch of 优级白砂糖.
18:11:34–18:11:36  I say '那就是这个在里面，嗯。'
18:11:36–18:11:42  I pick up the packet of 餐桌盐.
18:11:42–18:11:45  I return the packet of 餐桌盐.
18:11:45–18:11:49  I pick up the silicone spatula.
18:11:49–18:11:53  I hold the frying pan handle.
18:11:53–18:12:01  I scramble the frying egg with the spatula.
18:12:02–18:12:07  I prod the frying egg.
18:12:08–18:12:15  I loosen the egg.
18:12:16–18:12:22  I slide the spatula under the egg.
18:12:23–18:12:28  I shift the egg.
18:12:29–18:12:31  I press the egg.
18:12:32–18:12:37  I fold the cooking egg.
18:12:38–18:12:47  I fold the egg into an omelet.
18:12:48–18:12:50  I reach toward the stove knob.
18:12:51–18:13:01  I flip and press the folded egg.
18:13:02–18:13:05  I hold the frying pan while companion flips the egg.
18:13:06–18:13:09  I look at the sink counter.
18:13:10–18:13:15  Companion hands a plate saying '啊，给。'.
18:13:16–18:13:19  I place the beige plate on the counter.
18:13:20–18:13:22  I lift the frying pan.
18:13:23–18:13:31  I hold the frying pan while companion presses the egg.
18:13:32–18:13:43  I cook an omelette.
18:13:44–18:13:46  I transfer the omelette to a plate.
18:13:47–18:13:51  I unpack a tortilla wrap.
18:13:52–18:13:53  I place a tortilla into the pan.
18:13:54–18:13:55  I fold the tortilla packaging.
18:13:56–18:14:01  I pick up an egg from the carton.
18:14:02–18:14:04  I prepare to crack a raw egg.
18:14:05–18:14:08  I crack a raw egg into the frying pan.
18:14:09–18:14:10  I throw the eggshell into the trash bag.
18:14:11–18:14:13  I monitor the egg frying in the pan.
18:14:14–18:14:17  I say "嗯。".
18:14:18–18:14:31  I scramble the egg in the frying pan.
18:14:32–18:14:40  I loosen the egg with a spatula.
18:14:40–18:14:44  I monitor the frying egg.
18:14:45–18:14:46  I say "Hello。" to User X.
18:14:47–18:14:52  I monitor the frying egg.
18:14:52–18:14:58  I loosen the egg with a spatula.
18:14:58–18:15:02  I monitor the frying egg.
18:15:02–18:15:11  I watch the egg fry.
18:15:12–18:15:16  I loosen the egg with a spatula.
18:15:17–18:15:20  I hold the pan.
18:15:21–18:15:31  I fold the egg with a spatula.
18:15:32–18:15:37  I cook an egg with a spatula.
18:15:38–18:15:39  I turn the stovetop knob.
18:15:40–18:15:48  I monitor the cooking egg.
18:15:49–18:15:53  I flip the egg with the spatula.
18:15:54–18:16:01  I press the cooking egg with the spatula.
18:16:02–18:16:05  I monitor the egg frying in the pan.
18:16:06–18:16:10  I survey the kitchen countertop.
18:16:11–18:16:15  I monitor the egg frying in the pan.
18:16:16–18:16:19  I examine the food packet on the counter.
18:16:20–18:16:26  I watch the egg cook in the pan.
18:16:27–18:16:31  I loosen the egg with the spatula.
18:16:32–18:16:39  I fold the egg in the skillet.
18:16:39–18:16:49  I transfer the folded egg onto the plate.
18:16:50–18:16:54  I open the package of tortilla wraps.
18:16:55–18:16:57  I place a tortilla wrap into the skillet.
18:16:58–18:17:01  I monitor the tortilla heating in the skillet.
18:17:02–18:17:03  I hold an egg.
18:17:04–18:17:06  I crack an egg into the frying pan.
18:17:07–18:17:09  I throw away the eggshell.
18:17:10–18:17:14  I reach toward the seasoning bottles.
18:17:15–18:17:19  I reach toward the towel.
18:17:20–18:17:24  I open a seasoning bottle.
18:17:25–18:17:28  I drizzle seasoning onto the egg.
18:17:29–18:17:31  I hold the frying pan handle.
18:17:32–18:17:35  I check a frying egg with a spatula.
18:17:35–18:17:41  I break the egg yolk with a spatula.
18:17:41–18:17:55  I flatten the cooking egg with a spatula.
18:17:55–18:17:59  I scan the countertop seasonings and cookware.
18:17:59–18:18:01  I turn toward the kitchen doorway.
18:18:02–18:18:04  I reach for a bottle.
18:18:04–18:18:08  I monitor the frying egg.
18:18:08–18:18:12  I reach toward the seasoning bowl.
18:18:12–18:18:16  I say '嗯，里面有萝卜干儿，萝卜干儿，再来辣椒面。'
18:18:16–18:18:19  I pick up a chili powder packet.
18:18:19–18:18:25  I sprinkle chili powder onto the egg.
18:18:25–18:18:27  I return the chili powder packet.
18:18:27–18:18:31  I loosen the egg with the spatula.
18:18:32–18:18:38  I loosen the egg pancake.
18:18:38–18:18:40  I flip the egg pancake.
18:18:40–18:18:43  I say '我操！疯了。'
18:18:43–18:18:57  I fry the pancake.
18:18:57–18:19:01  I plate the pancake.
18:19:01–18:19:02  I inspect the plated pancakes.
18:19:02–18:19:04  I hold a frying pan handle.
18:19:04–18:19:06  I reach for a package of tortilla wraps.
18:19:06–18:19:09  I take out a tortilla wrap.
18:19:09–18:19:11  I set aside the wrap packaging.
18:19:11–18:19:14  I place a tortilla wrap into the frying pan.
18:19:14–18:19:15  I say '啊。'
18:19:15–18:19:18  I open the refrigerator door.
18:19:18–18:19:24  I reach for a jar on the refrigerator door.
18:19:24–18:19:31  I inspect condiments on the refrigerator door.
18:19:32–18:19:35  I search the refrigerator door shelves.
18:19:36–18:19:40  I pick up an egg.
18:19:41–18:19:44  I crack an egg into the frying pan.
18:19:45–18:19:47  I discard the eggshells.
18:19:48–18:20:01  I scramble the egg with a spatula.
18:20:02–18:20:04  I fry an egg in a pan.
18:20:04–18:20:07  I say "嗯，番茄酱，potato sauce".
18:20:07–18:20:09  I reach toward seasoning packets on the counter.
18:20:09–18:20:16  I search the kitchen counter for tomato sauce.
18:20:16–18:20:18  I open the refrigerator door.
18:20:18–18:20:20  I say "妈的，potato sauce，potato sauce".
18:20:20–18:20:23  I search the refrigerator door shelves.
18:20:23–18:20:26  I inspect a jar of 烧椒酱 on the top shelf.
18:20:26–18:20:28  I say "呀，么嘞，么嘞。".
18:20:28–18:20:31  I grab a bottle of tomato sauce from the shelf.
18:20:32–18:20:35  I open the refrigerator crisper drawer.
18:20:35–18:20:37  I say '没有别的了'.
18:20:37–18:20:39  I turn toward the kitchen stove.
18:20:39–18:20:41  The person cooking asks '啥子了？'.
18:20:41–18:20:43  I say '弄 tomato 汁。'.
18:20:43–18:20:52  I hold the frying pan handle while the egg is scrambled.
18:20:52–18:21:01  I hold the frying pan as the omelette is folded.
18:21:02–18:21:05  I observe the kitchen counter.
18:21:05–18:21:07  I say '她没多少事。'
18:21:08–18:21:10  I reach for the oil bottle.
18:21:10–18:21:14  I drizzle oil into the frying pan.
18:21:14–18:21:16  I place the oil bottle.
18:21:17–18:21:24  I fold the egg pancake.
18:21:25–18:21:28  I press the egg pancake.
18:21:28–18:21:31  I say '嗯嗯嗯嗯。'
18:21:32–18:21:34  I transfer a cooked egg pancake onto a plate.
18:21:35–18:21:44  I take a tortilla wrap from the package.
18:21:45–18:21:50  I place the tortilla into the frying pan.
18:21:51–18:21:56  I ask "再加点啥嘞？"
18:21:57–18:22:01  I say "加点儿番茄酱。"
18:22:02–18:22:05  I say "加点这个油，油老香嘞！"
18:22:05–18:22:08  I place the oil bottle down.
18:22:08–18:22:10  I look at the doorway.
18:22:10–18:22:18  I spread the oil with a spatula.
18:22:18–18:22:21  I walk to the refrigerator.
18:22:21–18:22:24  I open the refrigerator.
18:22:24–18:22:26  I say "啊，How can I get this one?"
18:22:26–18:22:29  I pick up a yellow sauce bottle.
18:22:29–18:22:31  I say "Let me check the date."
18:22:32–18:22:35  I inspect the back label of the Thousand Island dressing bottle.
18:22:35–18:22:37  I flip the dressing bottle upside down.
18:22:37–18:22:40  I say "三月份可以加。"
18:22:40–18:22:42  User X says "嗯嗯嗯嗯。"
18:22:42–18:22:45  I place the dressing bottle on the stove counter.
18:22:45–18:22:50  I hold the frying pan handle.
18:22:51–18:22:56  I monitor User X adjusting the flatbread with a spatula.
18:22:57–18:23:01  I watch User X reach for the seasoning packets.
18:23:02–18:23:06  I set down the seasoning packet.
18:23:06–18:23:14  I loosen the crepe with the spatula.
18:23:14–18:23:17  I discard the plastic wrapper.
18:23:17–18:23:20  I dispose of the green packaging.
18:23:20–18:23:25  I inspect the crepe and the cooked food.
18:23:25–18:23:31  I loosen the crepe while shaking the pan.
18:23:32–18:23:33  I check the flatbread cooking in the pan.
18:23:34–18:23:37  I flip the flatbread in the pan.
18:23:38–18:23:40  I turn down the stove knob.
18:23:41–18:23:43  I pick up a sauce bottle.
18:23:44–18:23:56  I squeeze sauce onto the cooked flatbread.
18:23:57–18:23:57  I say '嗯。'
18:23:58–18:23:58  I recap the sauce bottle.
18:23:59–18:24:01  I open the refrigerator door.
18:24:02–18:24:03  I grab a bottle of Chungjungone mayonnaise.
18:24:04–18:24:07  I inspect the Chungjungone Fresh Mayonnaise bottle.
18:24:08–18:24:10  I turn to the stovetop.
18:24:11–18:24:14  I flip the pancake in the frying pan.
18:24:15–18:24:20  I press the pancake with a spatula.
18:24:21–18:24:24  I open the mayonnaise bottle.
18:24:25–18:24:29  I drizzle mayonnaise onto the pancake.
18:24:30–18:24:31  I monitor the frying pan.
18:24:32–18:24:36  I open the refrigerator door.
18:24:36–18:24:39  I say '嗯，最后有个萝卜块儿啥，切丝片儿也行。反正也是随便加。'
18:24:39–18:24:41  I place the white bottle in the refrigerator door.
18:24:41–18:24:44  I take out a packet of sliced cheese.
18:24:44–18:24:47  I take a cheese slice and close the refrigerator door.
18:24:47–18:24:50  I turn toward the stovetop.
18:24:50–18:25:01  I unwrap the cheese slice.
18:25:02–18:25:05  I unwrap a cheese slice.
18:25:05–18:25:07  I place a cheese slice onto the pancake.
18:25:07–18:25:10  I discard the plastic wrapper.
18:25:10–18:25:19  I press the cheese slice onto the pancake with a spatula.
18:25:19–18:25:24  I look at the cooked pancake on the plate.
18:25:24–18:25:29  I fold the pancake over the cheese slice with a spatula.
18:25:29–18:25:31  I press the folded pancake with the spatula.
18:25:32–18:25:35  I transfer the folded pancake onto a plate.
18:25:36–18:25:42  I pick up the plate with pancake.
18:25:43–18:25:49  I grab a pair of chopsticks.
18:25:50–18:25:56  I walk down the hallway to the bedroom.
18:25:57–18:25:59  I say '嗯，吃饭。'
18:26:00–18:26:01  I reach toward the kettle.
18:26:02–18:26:06  I hold a plate of Chinese pancake.
18:26:07–18:26:07  I adjust my desk chair.
18:26:08–18:26:11  I place the plate of pancake on the table.
18:26:12–18:26:14  I sit down at the table.
18:26:15–18:26:27  I lift a layer of the pancake with chopsticks.
18:26:28–18:26:29  I say '嗯。' to the person.
18:26:30–18:26:31  I hold the pancake piece with chopsticks.
18:26:32–18:26:34  I pick at the egg pancake.
18:26:35–18:26:39  I look at my roommate.
18:26:40–18:26:49  I walk to the bay window desk.
18:26:50–18:27:01  I watch my roommate edit a Word document.
18:27:02–18:27:14  I read the Word document on the laptop.
18:27:14–18:27:16  I say '吃饼不？' to the person.
18:27:16–18:27:18  The person replies '有啊。'.
18:27:18–18:27:21  I approach the food cart.
18:27:21–18:27:31  I pick at the egg pancake with chopsticks.
18:27:32–18:27:35  I tear the scallion pancake.
18:27:35–18:27:37  I say '咋能没女的呢？'.
18:27:37–18:27:41  I lift the torn pancake section.
18:27:41–18:27:45  I inspect the scallion pancake crust.
18:27:45–18:27:50  I poke the fried egg filling.
18:27:50–18:27:53  I examine the bottom pancake layer.
18:27:53–18:28:02  I pinch a piece of fried egg.
18:28:02–18:28:05  I look at the egg pancakes and fruit on the table.
18:28:05–18:28:14  I separate a portion of the egg pancake with chopsticks.
18:28:14–18:28:23  I roll up the egg pancake with chopsticks.
18:28:23–18:28:27  I hold the rolled pancake and touch the table edge.
18:28:27–18:28:31  I say '嗯，过来先吃不。' to the person by the window.
18:28:32–18:28:33  I say "嗯。"
18:28:33–18:28:36  I look at my roommate.
18:28:36–18:28:47  I pick up an egg pancake with chopsticks.
18:28:47–18:28:50  I glance at a paper towel roll.
18:28:50–18:28:53  I look at the egg pancake.
18:28:53–18:28:56  I glance at my roommate.
18:28:56–18:29:01  I look at the pancake.
18:29:02–18:29:08  I hold a piece of pancake with chopsticks.
18:29:08–18:29:12  I glance toward the bed.
18:29:12–18:29:19  I look at the pancake in my chopsticks.
18:29:19–18:29:23  I glance downward at the desk edge.
18:29:23–18:29:31  I look at the pancake on the plate.
18:29:32–18:29:35  I pick up a piece of pancake.
18:29:35–18:29:41  I eat the piece of pancake.
18:29:41–18:29:49  I look at the remaining pancake.
18:29:49–18:29:54  I look at my roommate.
18:29:54–18:29:56  I look at the plate of pancake.
18:29:56–18:30:00  My roommate says '行，吃呗，你也不差，也有五分钟。'
18:30:00–18:30:02  I look towards the bed table.
18:30:02–18:30:05  I pick up a skewered pear piece.
18:30:06–18:30:09  I pick up a second skewered pear piece.
18:30:10–18:30:13  I grasp the folded pancake with chopsticks.
18:30:14–18:30:17  I lift a section of the pancake with chopsticks.
18:30:18–18:30:22  I separate a portion of the pancake with chopsticks.
