11:42:16–11:42:18  I hold a tissue.
14:37:54–14:38:06  I read through the middle section of the document.
14:38:06–14:38:15  I review the bottom rows of the document.
14:38:16–14:38:18  I raise my hand in front of the laptop.
14:38:19–14:38:20  I glance at the shelf.
14:38:21–14:38:34  I read Python code on the screen.
14:38:35–14:38:38  I reach for the mouse.
14:38:39–14:38:45  I read the code block.
14:38:46–14:38:52  I read the UNet architecture breakdown.
14:38:52–14:38:58  I read the code comments about down_block_chans.
14:38:58–14:39:06  I read the time embedding projection explanation.
14:39:06–14:39:16  I examine the resolution and channel mapping table.
14:39:16–14:39:22  I read diffusion model architecture comparison notes.
14:39:23–14:39:30  I read the UNet decoder code and hyperparameters in Jupyter Notebook.
14:39:31–14:39:41  I examine hyperparameter specifications and sampling guidance.
14:39:42–14:39:45  I read the `q2` function docstring and return specifications.
14:39:46–14:39:48  I read the diffusion assignment requirements.
14:39:49–14:39:51  I inspect the spiral dataset plots.
14:39:52–14:39:57  I scroll through the UNet pseudocode.
14:39:58–14:40:01  I review the q2 function requirements.
14:40:02–14:40:05  I say '嗯。'.
14:40:06–14:40:15  I touch the power adapter.
14:40:16–14:40:18  I rest my hand on the power adapter.
14:40:19–14:40:27  I read the q2 hyperparameter requirements in Jupyter Notebook.
14:40:28–14:40:35  I move my hand toward the laptop trackpad.
14:40:36–14:40:41  I inspect the q2 return loss array specifications.
14:40:42–14:40:44  I read Question 3 heading in Jupyter Notebook.
14:40:45–14:40:46  I scroll back up to the q2 function section.
14:40:46–14:40:50  I read hyperparameter details for Pixel Space Diffusion on CIFAR-10.
14:40:51–14:40:55  I inspect the UNet implementation code.
14:40:56–14:41:02  I review the q2 function header and hyperparameter specifications.
14:41:03–14:41:07  I read the training and test loss return specifications.
14:41:08–14:41:15  I read the diffusion timestep logarithmic spacing formula.
14:41:16–14:41:28  I read the assignment specifications for def q2().
14:41:29–14:41:31  I hold a yellow foam earplug.
14:41:32–14:41:45  I roll the yellow earplug between my fingers.
14:41:46–14:42:00  I read the q2() function requirements in the notebook.
14:42:00–14:42:04  I place the earplug on the desk.
14:42:04–14:42:06  I scroll through the Jupyter notebook.
14:42:06–14:42:12  I inspect the 2D diffusion spiral plots.
14:42:12–14:42:16  I say '我的妈呀！你妈，这是这是比比谁？'.
14:42:16–14:42:20  I scroll through diffusion code.
14:42:20–14:42:24  I inspect the toy dataset plot.
14:42:24–14:42:32  I review the DiffusionMLP architecture.
14:42:32–14:42:39  I examine data normalization and optimizer code.
14:42:39–14:42:44  I check the compute_loss implementation.
14:42:44–14:42:46  I say '嗯。'.
14:42:46–14:42:47  I say '嗯。'
14:42:47–14:42:50  I inspect Question 1 DDPM sampling code and results.
14:42:50–14:42:55  I read Question 2 CIFAR-10 diffusion requirements.
14:42:56–14:43:03  I position my hands over the keyboard.
14:43:04–14:43:11  I focus the code editing cell for q2.
14:43:12–14:43:15  I review the q2 function placeholder.
14:43:16–14:43:19  I read the CS284 assignment instructions.
14:43:19–14:43:34  I type code into the Jupyter Notebook.
14:43:34–14:43:36  I say '哦。'
14:43:36–14:43:42  I look at the desk surface.
14:43:42–14:43:46  I position my hands to resume typing.
14:43:46–14:43:53  I type diffusion model code.
14:43:54–14:44:09  I read the Jupyter Notebook specifications.
14:44:10–14:44:16  I rest my hand on the laptop.
14:44:16–14:44:18  I say '就比如。'
14:44:18–14:44:21  I examine the code cell in VS Code.
14:44:22–14:44:45  I type code into the Jupyter notebook.
14:44:46–14:45:00  I type 'gaussion noise, add noise to the image'.
14:45:01–14:45:10  I fidget with my fingers.
14:45:11–14:45:15  I lean back.
14:45:16–14:45:20  I look at my desk and lap.
14:45:21–14:45:30  I inspect my fingers.
14:45:31–14:45:39  I read the Jupyter Notebook.
14:45:40–14:45:45  I place hands on keyboard.
14:45:46–14:45:50  I type '2 train network'.
14:45:50–14:46:02  I type 'predict(x_t, t, )'.
14:46:02–14:46:08  I pause typing.
14:46:08–14:46:15  I continue typing.
14:46:16–14:46:22  I read the diffusion starter code in VS Code.
14:46:22–14:46:31  I review the assignment parameters in VS Code.
14:46:32–14:46:35  I reach for the power adapter.
14:46:35–14:46:41  I check the power adapter plug.
14:46:42–14:46:45  I return to the laptop.
14:46:46–14:46:49  I look at the keyboard.
14:46:49–14:46:53  I read the diffusion training steps.
14:46:53–14:46:58  I place my right hand over the keyboard.
14:46:58–14:47:03  I inspect the keyboard keys.
14:47:03–14:47:07  I look at the keyboard.
14:47:07–14:47:11  I read the code docstring.
14:47:11–14:47:15  I read the diffusion prediction step.
14:47:16–14:47:17  I inspect the code cell.
14:47:17–14:47:19  I say '是是。'
14:47:19–14:47:24  I type 'denoise: sample gaussian initial noise, every step,'.
14:47:25–14:47:35  I review the pseudocode comment.
14:47:36–14:47:45  I inspect the code steps.
14:47:46–14:47:51  I read the diffusion model assignment instructions in the hw4.ipynb notebook.
14:47:51–14:48:04  I type diffusion denoising pseudocode into the notebook.
14:48:04–14:48:12  I review the code comments in the notebook.
14:48:12–14:48:14  I say '啊。'.
14:48:14–14:48:16  I stand up from the desk.
14:48:16–14:48:19  I say '啊，so hungry, so hungry, so hungry.'
14:48:20–14:48:23  I walk down the hallway.
14:48:24–14:48:26  I open the kitchen door.
14:48:26–14:48:32  I inspect the stovetop.
14:48:33–14:48:36  I check the rice cooker.
14:48:37–14:48:40  I look at the stove.
14:48:41–14:48:45  I return to my bedroom.
14:48:46–14:48:53  I observe my roommate.
14:48:54–14:48:57  I say '瑶瑶先，那个锅怎么蒸啊？那个锅怎么蒸？那个水锅有没有一个蒸屉？'
14:48:58–14:49:03  I walk to the kitchen.
14:49:04–14:49:06  Roommate says '小娃不是在调料的后面放着的吗？'
14:49:07–14:49:09  I say 'Oh, I see.'
14:49:10–14:49:11  Roommate says '对。'
14:49:12–14:49:13  I grab the frying pan handle.
14:49:14–14:49:15  I turn toward the sink with the pan.
14:49:16–14:49:17  I turn on the faucet.
14:49:17–14:49:28  I fill the frying pan with water.
14:49:28–14:49:30  I turn off the faucet.
14:49:31–14:49:34  I place the pan on the stove.
14:49:34–14:49:36  I turn the stove knob.
14:49:37–14:49:38  I say '操！'.
14:49:39–14:49:41  I reach for a hanging bag.
14:49:42–14:49:44  I grab chopsticks.
14:49:44–14:49:45  I hold chopsticks.
14:49:46–14:49:51  I hold a chopstick under the range hood.
14:49:52–14:49:55  I place the chopstick on the counter.
14:49:56–14:49:58  I pick up a steaming rack.
14:49:59–14:50:02  I place the steaming rack on the pan.
14:50:03–14:50:06  User X says '散了，散了。没有，没有，没有。就是这样。'
14:50:07–14:50:15  User X says '不是。这个是要在下面的，这样水就不会积在上面了。水就会流到这个边边上，就不会积在上面了。'
14:50:16–14:50:21  I say 'OK，就放在上面，饺子放上面就不会粘皮儿、粘破了。'
14:50:21–14:50:27  I say 'OK，正反都可以，我感觉。'
14:50:28–14:50:33  I reach for the freezer door.
14:50:34–14:50:37  I open the freezer door.
14:50:38–14:50:41  I take out a food container from the freezer.
14:50:42–14:50:45  I open the dumpling container.
14:50:46–14:50:49  I say '嗯，我不要吃这个，这个春卷皮，我要吃那个皮。'
14:50:50–14:50:58  I retrieve a bag of frozen buns.
14:50:59–14:51:01  I face the kitchen counter.
14:51:02–14:51:07  I open the plastic bag.
14:51:08–14:51:09  I hand over the plastic bag.
14:51:10–14:51:15  I say 'Very good. 嗯。Wow.'
14:51:16–14:51:18  My companion says "这样吃不饱，直接蒸得了".
14:51:18–14:51:21  I say "可以可以，直接蒸吧".
14:51:21–14:51:23  My companion says "再点一个".
14:51:23–14:51:26  I say "哦，够了，再加个菜".
14:51:26–14:51:28  My companion says "嗯".
14:51:28–14:51:32  I walk to the refrigerator.
14:51:32–14:51:36  I open the refrigerator.
14:51:36–14:51:41  I retrieve baby Chinese cabbage from the refrigerator.
14:51:41–14:51:46  I unwrap the baby Chinese cabbage.
14:51:46–14:51:50  I unpack a napa cabbage.
14:51:51–14:51:51  I turn on the water faucet.
14:51:52–14:52:05  I rinse the cabbage under running water.
14:52:06–14:52:07  I pick up the kitchen scissors.
14:52:08–14:52:11  I cut off the cabbage root.
14:52:12–14:52:15  I rinse the trimmed cabbage leaves.
14:52:16–14:52:17  I wash napa cabbage.
14:52:17–14:52:20  I say '蒸个菜。' to User X.
14:52:21–14:52:23  I observe the kitchen counter.
14:52:24–14:52:32  I watch User X arrange cabbage in the steamer.
14:52:33–14:52:37  I place the glass lid on the steamer pan.
14:52:38–14:52:41  I say '这咋待得住啊？'.
14:52:41–14:52:45  I say '嗯哼。' while adjusting the cabbage.
14:52:46–14:52:48  I arrange cabbage leaves in a skillet.
14:52:48–14:52:51  I rinse my hand under the faucet.
14:52:51–14:52:56  I scan the seasoning bottles behind the stove.
14:52:56–14:53:00  I say '酱油，酱油，生抽，酱油。'
14:53:00–14:53:04  I pick up a bottle of soy sauce.
14:53:04–14:53:07  I open the soy sauce bottle cap.
14:53:07–14:53:16  I drizzle soy sauce over the cabbage in the skillet.
14:53:16–14:53:18  I place a condiment bottle.
14:53:19–14:53:21  I place a lid on the pan.
14:53:22–14:53:24  I say '啊，so hot'.
14:53:25–14:53:28  I look into the living room.
14:53:29–14:53:32  I reach for the pan handle.
14:53:33–14:53:38  I reposition the pan onto the burner.
14:53:39–14:53:42  I turn toward the counter.
14:53:43–14:53:45  I say '嗯，十分钟，十五分钟。' while holding the timer.
14:53:46–14:53:51  I set a kitchen timer.
14:53:52–14:53:55  I walk toward the hallway.
14:53:56–14:54:01  I check the pan on the stove.
14:54:02–14:54:05  I place the timer on a dining table.
14:54:06–14:54:08  I say '酱油，酱油。'
13:34:31–13:34:32  look at the top edge of the laptop screen
13:34:32–13:34:34  say 'That's interesting. That's very interesting.'
13:34:34–13:34:46  read the online document
13:56:01–13:56:04  I look at handwritten reinforcement learning notes on the notebook with laptop displaying PGRD algorithm notes ahead.
13:56:05–13:56:15  I write '也更新' below the inner loop note on the notebook.
